,Sentence,sentiment,CompScore,PosScore,NegScore,NeuScore,PosFlag,NegFlag,NeuFlag
0, Robert Cohn was once middleweight boxing champion of Princeton.,0.5994,0.5994,0.328,0.0,0.672,1,0,0
1,"Do not think that I am very much impressed by that as a boxing title, but it meant a lot to Cohn.",0.2935,0.2935,0.108,0.0,0.892,1,0,0
2,"There was a certain inner comfort in knowing he could knock down anybody who was snooty to him, although, being very shy and a thoroughly nice boy, he never fought except in the gym.",0.7478,0.7478,0.248,0.059,0.693,1,0,0
3,"Spider Kelly taught all his young gentlemen to box like featherweights, no matter whether they weighed one hundred and five or two hundred and five pounds.",0.1027,0.1027,0.125,0.076,0.799,1,0,0
4,But it seemed to fit Cohn.,0.5023,0.5023,0.394,0.0,0.606,1,0,0
5,He was so good that Spider promptly overmatched him and got his nose permanently flattened.,0.5777,0.5777,0.211,0.0,0.789,1,0,0
6,"This increased Cohn’s distaste for boxing, but it gave him a certain satisfaction of some strange sort, and it certainly improved his nose.",0.9201,0.9201,0.457,0.066,0.478,1,0,0
7,They did not even remember that he was middleweight boxing champion.,0.5994,0.5994,0.281,0.0,0.719,1,0,0
8,"Robert Cohn was a member, through his father, of one of the richest Jewish families in New York, and through his mother of one of the oldest.",0.5267,0.5267,0.12,0.0,0.88,1,0,0
9,"At the military school where he prepped for Princeton, and played a very good end on the football team, no one had made him race-conscious.",0.5256,0.5256,0.194,0.076,0.729,1,0,0
10,"He was a nice boy, a friendly boy, and very shy, and it made him bitter.",0.228,0.228,0.284,0.241,0.474,1,0,0
11,It was his money and he discovered he liked the authority of editing.,0.4767,0.4767,0.272,0.0,0.728,1,0,0
12,He had been taken in hand by a lady who hoped to rise with the magazine.,0.7003,0.7003,0.309,0.0,0.691,1,0,0
13,"She was very forceful, and Cohn never had a chance of not being taken in hand.",0.3527,0.3527,0.178,0.097,0.725,1,0,0
14,Also he was sure that he loved her.,0.7351,0.7351,0.508,0.0,0.492,1,0,0
15,"During these three years, the first spent in travel, the last two in Paris, Robert Cohn had two friends, Braddocks and myself.",0.4767,0.4767,0.129,0.0,0.871,1,0,0
