,Sentence,sentiment,CompScore,PosScore,NegScore,NeuScore,PosFlag,NegFlag,NeuFlag
0,"He cared nothing for boxing, in fact he disliked it, but he learned it painfully and thoroughly to counteract the feeling of inferiority and shyness he had felt on being treated as a Jew at Princeton.",-0.8555,-0.8555,0.082,0.27,0.649,0,1,0
1,"I mistrust all frank and simple people, especially when their stories hold together, and I always had a suspicion that perhaps Robert Cohn had never been middleweight boxing champion, and that perhaps a horse had stepped on his face, or that maybe his mother had been frightened or seen something, or that he had, maybe, bumped into something as a young child, but I finally had somebody verify the story from Spider Kelly.",-0.0772,-0.0772,0.035,0.053,0.912,0,1,0
2,"No one had ever made him feel he was a Jew, and hence any different from anybody else, until he went to Princeton.",-0.296,-0.296,0.0,0.095,0.905,0,1,0
3,"He was married five years, had three children, lost most of the fifty thousand dollars his father left him, the balance of the estate having gone to his mother, hardened into a rather unattractive mould under domestic unhappiness with a rich wife; and just when he had made up his mind to leave his wife she left him and went off with a miniature-painter.",-0.6369,-0.6369,0.052,0.141,0.807,0,1,0
4,"As he had been thinking for months about leaving his wife and had not done it because it would be too cruel to deprive her of himself, her departure was a very healthful shock.",-0.8683,-0.8683,0.0,0.246,0.754,0,1,0
5,He was sorry when the magazine became too expensive and he had to give it up.,-0.0772,-0.0772,0.0,0.08,0.92,0,1,0
6,"By that time, though, he had other things to worry about.",-0.4404,-0.4404,0.0,0.225,0.775,0,1,0
7,"When this lady saw that the magazine was not going to rise, she became a little disgusted with Cohn and decided that she might as well get what there was to get while there was still something available, so she urged that they go to Europe, where Cohn could write.",-0.2516,-0.2516,0.04,0.06,0.9,0,1,0
8,I thought it was accidental and went on: “She’s been there two years and knows everything there is to know about the town.,-0.0772,-0.0772,0.0,0.058,0.942,0,1,0
9,If I know an American girl that lives in Strasbourg what the hell is it to Frances?” “It doesn’t make any difference.,-0.6808,-0.6808,0.0,0.187,0.813,0,1,0
10,"His going made an awful row I heard, and I think that was where Frances lost him, because several women were nice to him in New York, and when he came back he was quite changed.",-0.3612,-0.3612,0.072,0.136,0.793,0,1,0
11,For four years his horizon had been absolutely limited to his wife.,-0.2944,-0.2944,0.0,0.166,0.834,0,1,0
12,I am sure he had never been in love in his life.,-0.2658,-0.2658,0.157,0.23,0.614,0,1,0
