chap_num,sent_num,token_num,pos_tuple,pos,token_str,term_str
1,0,0,"('Robert', 'NNP')",NNP,Robert,robert
1,0,1,"('Cohn', 'NNP')",NNP,Cohn,cohn
1,0,2,"('was', 'VBD')",VBD,was,was
1,0,3,"('once', 'RB')",RB,once,once
1,0,4,"('middleweight', 'JJ')",JJ,middleweight,middleweight
1,0,5,"('boxing', 'VBG')",VBG,boxing,boxing
1,0,6,"('champion', 'NN')",NN,champion,champion
1,0,7,"('of', 'IN')",IN,of,of
1,0,8,"('Princeton', 'NNP')",NNP,Princeton,princeton
1,0,9,"('.', '.')",.,.,
1,1,0,"('Do', 'VBP')",VBP,Do,do
1,1,1,"('not', 'RB')",RB,not,not
1,1,2,"('think', 'VB')",VB,think,think
1,1,3,"('that', 'IN')",IN,that,that
1,1,4,"('I', 'PRP')",PRP,I,i
1,1,5,"('am', 'VBP')",VBP,am,am
1,1,6,"('very', 'RB')",RB,very,very
1,1,7,"('much', 'RB')",RB,much,much
1,1,8,"('impressed', 'VBN')",VBN,impressed,impressed
1,1,9,"('by', 'IN')",IN,by,by
1,1,10,"('that', 'DT')",DT,that,that
1,1,11,"('as', 'IN')",IN,as,as
1,1,12,"('a', 'DT')",DT,a,a
1,1,13,"('boxing', 'NN')",NN,boxing,boxing
1,1,14,"('title', 'NN')",NN,title,title
1,1,15,"(',', ',')",",",",",
1,1,16,"('but', 'CC')",CC,but,but
1,1,17,"('it', 'PRP')",PRP,it,it
1,1,18,"('meant', 'VBD')",VBD,meant,meant
1,1,19,"('a', 'DT')",DT,a,a
1,1,20,"('lot', 'NN')",NN,lot,lot
1,1,21,"('to', 'TO')",TO,to,to
1,1,22,"('Cohn', 'NNP')",NNP,Cohn,cohn
1,1,23,"('.', '.')",.,.,
1,2,0,"('He', 'PRP')",PRP,He,he
1,2,1,"('cared', 'VBD')",VBD,cared,cared
1,2,2,"('nothing', 'NN')",NN,nothing,nothing
1,2,3,"('for', 'IN')",IN,for,for
1,2,4,"('boxing', 'NN')",NN,boxing,boxing
1,2,5,"(',', ',')",",",",",
1,2,6,"('in', 'IN')",IN,in,in
1,2,7,"('fact', 'NN')",NN,fact,fact
1,2,8,"('he', 'PRP')",PRP,he,he
1,2,9,"('disliked', 'VBD')",VBD,disliked,disliked
1,2,10,"('it', 'PRP')",PRP,it,it
1,2,11,"(',', ',')",",",",",
1,2,12,"('but', 'CC')",CC,but,but
1,2,13,"('he', 'PRP')",PRP,he,he
1,2,14,"('learned', 'VBD')",VBD,learned,learned
1,2,15,"('it', 'PRP')",PRP,it,it
1,2,16,"('painfully', 'RB')",RB,painfully,painfully
1,2,17,"('and', 'CC')",CC,and,and
1,2,18,"('thoroughly', 'RB')",RB,thoroughly,thoroughly
1,2,19,"('to', 'TO')",TO,to,to
1,2,20,"('counteract', 'VB')",VB,counteract,counteract
1,2,21,"('the', 'DT')",DT,the,the
1,2,22,"('feeling', 'NN')",NN,feeling,feeling
1,2,23,"('of', 'IN')",IN,of,of
1,2,24,"('inferiority', 'NN')",NN,inferiority,inferiority
1,2,25,"('and', 'CC')",CC,and,and
1,2,26,"('shyness', 'NN')",NN,shyness,shyness
1,2,27,"('he', 'PRP')",PRP,he,he
1,2,28,"('had', 'VBD')",VBD,had,had
1,2,29,"('felt', 'VBN')",VBN,felt,felt
1,2,30,"('on', 'IN')",IN,on,on
