w0,w1,w2,n,mle
1,</s>,<s>,1,1.0067857358596944e-05
10,</s>,<s>,1,1.0067857358596944e-05
11,</s>,<s>,1,1.0067857358596944e-05
118,of,the,1,1.0067857358596944e-05
12,</s>,<s>,1,1.0067857358596944e-05
13,</s>,<s>,1,1.0067857358596944e-05
14,</s>,<s>,1,1.0067857358596944e-05
15,</s>,<s>,1,1.0067857358596944e-05
16,</s>,<s>,1,1.0067857358596944e-05
17,</s>,<s>,1,1.0067857358596944e-05
17th,</s>,<s>,1,1.0067857358596944e-05
18,</s>,<s>,1,1.0067857358596944e-05
1832,</s>,<s>,1,1.0067857358596944e-05
19,</s>,<s>,1,1.0067857358596944e-05
1905,</s>,<s>,1,1.0067857358596944e-05
1918,and,right,1,1.0067857358596944e-05
1st,of,july,1,1.0067857358596944e-05
2,</s>,<s>,1,1.0067857358596944e-05
20th,of,june,1,1.0067857358596944e-05
2432,</s>,<s>,1,1.0067857358596944e-05
24th,of,june,1,1.0067857358596944e-05
25th,</s>,<s>,3,3.020357207579083e-05
25th,unless,i,1,1.0067857358596944e-05
3,</s>,<s>,1,1.0067857358596944e-05
3,days,rest,1,1.0067857358596944e-05
30,centimes,a,1,1.0067857358596944e-05
4,</s>,<s>,1,1.0067857358596944e-05
5,</s>,<s>,1,1.0067857358596944e-05
6,</s>,<s>,1,1.0067857358596944e-05
60,</s>,<s>,2,2.013571471719389e-05
6th,of,july,1,1.0067857358596944e-05
7,</s>,<s>,1,1.0067857358596944e-05
8,</s>,<s>,1,1.0067857358596944e-05
9,</s>,<s>,1,1.0067857358596944e-05
</s>,<s>,<s>,10341,0.104111712945251
<s>,1,</s>,1,1.0067857358596944e-05
<s>,10,</s>,1,1.0067857358596944e-05
<s>,11,</s>,1,1.0067857358596944e-05
<s>,12,</s>,1,1.0067857358596944e-05
<s>,13,</s>,1,1.0067857358596944e-05
<s>,14,</s>,1,1.0067857358596944e-05
<s>,15,</s>,1,1.0067857358596944e-05
<s>,16,</s>,1,1.0067857358596944e-05
<s>,17,</s>,1,1.0067857358596944e-05
<s>,18,</s>,1,1.0067857358596944e-05
<s>,19,</s>,1,1.0067857358596944e-05
<s>,2,</s>,1,1.0067857358596944e-05
<s>,3,</s>,1,1.0067857358596944e-05
<s>,4,</s>,1,1.0067857358596944e-05
<s>,5,</s>,1,1.0067857358596944e-05
<s>,6,</s>,1,1.0067857358596944e-05
<s>,60,</s>,2,2.013571471719389e-05
<s>,7,</s>,1,1.0067857358596944e-05
<s>,8,</s>,1,1.0067857358596944e-05
<s>,9,</s>,1,1.0067857358596944e-05
<s>,</s>,<s>,2163,0.02177677546664519
<s>,<s>,1,1,1.0067857358596944e-05
<s>,<s>,10,1,1.0067857358596944e-05
<s>,<s>,11,1,1.0067857358596944e-05
<s>,<s>,12,1,1.0067857358596944e-05
<s>,<s>,13,1,1.0067857358596944e-05
<s>,<s>,14,1,1.0067857358596944e-05
<s>,<s>,15,1,1.0067857358596944e-05
<s>,<s>,16,1,1.0067857358596944e-05
<s>,<s>,17,1,1.0067857358596944e-05
<s>,<s>,18,1,1.0067857358596944e-05
<s>,<s>,19,1,1.0067857358596944e-05
<s>,<s>,2,1,1.0067857358596944e-05
<s>,<s>,3,1,1.0067857358596944e-05
<s>,<s>,4,1,1.0067857358596944e-05
<s>,<s>,5,1,1.0067857358596944e-05
<s>,<s>,6,1,1.0067857358596944e-05
<s>,<s>,60,2,2.013571471719389e-05
<s>,<s>,7,1,1.0067857358596944e-05
<s>,<s>,8,1,1.0067857358596944e-05
<s>,<s>,9,1,1.0067857358596944e-05
<s>,<s>,</s>,2163,0.02177677546664519
<s>,<s>,a,51,0.0005134607252884441
<s>,<s>,about,6,6.040714415158166e-05
<s>,<s>,above,3,3.020357207579083e-05
<s>,<s>,abraham,1,1.0067857358596944e-05
<s>,<s>,absolutely,4,4.027142943438778e-05
<s>,<s>,across,6,6.040714415158166e-05
<s>,<s>,aficion,1,1.0067857358596944e-05
<s>,<s>,after,24,0.00024162857660632665
<s>,<s>,afterward,4,4.027142943438778e-05
<s>,<s>,ah,1,1.0067857358596944e-05
<s>,<s>,ahead,4,4.027142943438778e-05
<s>,<s>,algabeno,1,1.0067857358596944e-05
<s>,<s>,all,59,0.0005940035841572196
<s>,<s>,aloysius,1,1.0067857358596944e-05
<s>,<s>,already,1,1.0067857358596944e-05
<s>,<s>,also,3,3.020357207579083e-05
<s>,<s>,although,1,1.0067857358596944e-05
<s>,<s>,always,6,6.040714415158166e-05
<s>,<s>,am,1,1.0067857358596944e-05
<s>,<s>,amazing,1,1.0067857358596944e-05
<s>,<s>,american,1,1.0067857358596944e-05
<s>,<s>,an,5,5.033928679298472e-05
<s>,<s>,and,57,0.0005738678694400258
<s>,<s>,animals,1,1.0067857358596944e-05
<s>,<s>,another,4,4.027142943438778e-05
<s>,<s>,any,5,5.033928679298472e-05
<s>,<s>,anybody,2,2.013571471719389e-05
<s>,<s>,anyhow,2,2.013571471719389e-05
<s>,<s>,anything,6,6.040714415158166e-05
<s>,<s>,anyway,2,2.013571471719389e-05
<s>,<s>,anywhere,3,3.020357207579083e-05
<s>,<s>,are,10,0.00010067857358596944
<s>,<s>,arent,15,0.00015101786037895415
<s>,<s>,around,2,2.013571471719389e-05
<s>,<s>,arriba,3,3.020357207579083e-05
<s>,<s>,arriving,1,1.0067857358596944e-05
<s>,<s>,as,27,0.00027183214868211746
<s>,<s>,ashley,1,1.0067857358596944e-05
<s>,<s>,ask,3,3.020357207579083e-05
<s>,<s>,asked,14,0.0001409500030203572
<s>,<s>,at,33,0.00033223929283369914
<s>,<s>,aw,1,1.0067857358596944e-05
<s>,<s>,awful,2,2.013571471719389e-05
<s>,<s>,awfully,3,3.020357207579083e-05
<s>,<s>,back,8,8.054285886877555e-05
<s>,<s>,bad,2,2.013571471719389e-05
<s>,<s>,badly,3,3.020357207579083e-05
<s>,<s>,barmen,1,1.0067857358596944e-05
<s>,<s>,barnes,13,0.00013088214566176027
<s>,<s>,bartenders,1,1.0067857358596944e-05
<s>,<s>,bathing,1,1.0067857358596944e-05
<s>,<s>,bayonne,1,1.0067857358596944e-05
<s>,<s>,be,6,6.040714415158166e-05
<s>,<s>,beating,1,1.0067857358596944e-05
<s>,<s>,beautiful,2,2.013571471719389e-05
<s>,<s>,because,6,6.040714415158166e-05
<s>,<s>,been,2,2.013571471719389e-05
<s>,<s>,before,2,2.013571471719389e-05
<s>,<s>,behind,8,8.054285886877555e-05
<s>,<s>,belmonte,11,0.00011074643094456638
<s>,<s>,belmontes,1,1.0067857358596944e-05
<s>,<s>,below,5,5.033928679298472e-05
<s>,<s>,besides,1,1.0067857358596944e-05
<s>,<s>,better,6,6.040714415158166e-05
<s>,<s>,between,2,2.013571471719389e-05
<s>,<s>,beyond,3,3.020357207579083e-05
<s>,<s>,bicycle,1,1.0067857358596944e-05
<s>,<s>,big,3,3.020357207579083e-05
<s>,<s>,bill,99,0.0009967178785010974
<s>,<s>,bills,3,3.020357207579083e-05
<s>,<s>,bloody,1,1.0067857358596944e-05
<s>,<s>,bootblacks,1,1.0067857358596944e-05
<s>,<s>,borracho,1,1.0067857358596944e-05
<s>,<s>,both,1,1.0067857358596944e-05
<s>,<s>,bought,1,1.0067857358596944e-05
<s>,<s>,boulevard,1,1.0067857358596944e-05
<s>,<s>,boys,2,2.013571471719389e-05
<s>,<s>,braddock,1,1.0067857358596944e-05
<s>,<s>,braddocks,17,0.00017115357509614804
<s>,<s>,breeding,1,1.0067857358596944e-05
<s>,<s>,brett,115,0.0011578035962386485
<s>,<s>,bretts,14,0.0001409500030203572
<s>,<s>,bring,6,6.040714415158166e-05
<s>,<s>,brussels,1,1.0067857358596944e-05
<s>,<s>,brute,1,1.0067857358596944e-05
<s>,<s>,bryans,1,1.0067857358596944e-05
<s>,<s>,budapest,2,2.013571471719389e-05
<s>,<s>,bull,2,2.013571471719389e-05
<s>,<s>,bung,2,2.013571471719389e-05
<s>,<s>,burying,1,1.0067857358596944e-05
<s>,<s>,but,64,0.0006443428709502044
<s>,<s>,by,7,7.04750015101786e-05
<s>,<s>,caffeine,2,2.013571471719389e-05
<s>,<s>,café,1,1.0067857358596944e-05
<s>,<s>,call,1,1.0067857358596944e-05
<s>,<s>,campbell,5,5.033928679298472e-05
<s>,<s>,campbells,1,1.0067857358596944e-05
<s>,<s>,can,5,5.033928679298472e-05
<s>,<s>,cant,9,9.06107162273725e-05
<s>,<s>,certainly,3,3.020357207579083e-05
<s>,<s>,cest,1,1.0067857358596944e-05
<s>,<s>,chap,2,2.013571471719389e-05
<s>,<s>,chaps,2,2.013571471719389e-05
<s>,<s>,che,2,2.013571471719389e-05
<s>,<s>,cheer,1,1.0067857358596944e-05
<s>,<s>,chicken,1,1.0067857358596944e-05
<s>,<s>,claimed,2,2.013571471719389e-05
<s>,<s>,clean,1,1.0067857358596944e-05
<s>,<s>,clearly,1,1.0067857358596944e-05
<s>,<s>,close,2,2.013571471719389e-05
<s>,<s>,closerie,1,1.0067857358596944e-05
<s>,<s>,coffee,1,1.0067857358596944e-05
<s>,<s>,cohn,46,0.0004631214384954594
<s>,<s>,cohns,1,1.0067857358596944e-05
<s>,<s>,come,65,0.0006544107283088013
<s>,<s>,comfortably,1,1.0067857358596944e-05
<s>,<s>,comment,1,1.0067857358596944e-05
<s>,<s>,congratulations,1,1.0067857358596944e-05
<s>,<s>,connais,1,1.0067857358596944e-05
<s>,<s>,could,3,3.020357207579083e-05
<s>,<s>,couldnt,6,6.040714415158166e-05
<s>,<s>,count,1,1.0067857358596944e-05
<s>,<s>,crossing,1,1.0067857358596944e-05
<s>,<s>,cruise,1,1.0067857358596944e-05
<s>,<s>,cut,1,1.0067857358596944e-05
<s>,<s>,d,1,1.0067857358596944e-05
<s>,<s>,damn,4,4.027142943438778e-05
<s>,<s>,damned,14,0.0001409500030203572
<s>,<s>,dancing,1,1.0067857358596944e-05
<s>,<s>,darling,5,5.033928679298472e-05
<s>,<s>,dashing,1,1.0067857358596944e-05
