chap_num,para_num,sent_num,token_num,pos_tuple,pos,token_str,term_str
1,0,0,0,"('Robert', 'NNP')",NNP,Robert,robert
1,0,0,1,"('Cohn', 'NNP')",NNP,Cohn,cohn
1,0,0,2,"('was', 'VBD')",VBD,was,was
1,0,0,3,"('once', 'RB')",RB,once,once
1,0,0,4,"('middleweight', 'JJ')",JJ,middleweight,middleweight
1,0,0,5,"('boxing', 'VBG')",VBG,boxing,boxing
1,0,0,6,"('champion', 'NN')",NN,champion,champion
1,0,0,7,"('of', 'IN')",IN,of,of
1,0,0,8,"('Princeton', 'NNP')",NNP,Princeton,princeton
1,0,0,9,"('.', '.')",.,.,.
1,0,1,0,"('Do', 'VBP')",VBP,Do,do
1,0,1,1,"('not', 'RB')",RB,not,not
1,0,1,2,"('think', 'VB')",VB,think,think
1,0,1,3,"('that', 'IN')",IN,that,that
1,0,1,4,"('I', 'PRP')",PRP,I,i
1,0,1,5,"('am', 'VBP')",VBP,am,am
1,0,1,6,"('very', 'RB')",RB,very,very
1,0,1,7,"('much', 'RB')",RB,much,much
1,0,1,8,"('impressed', 'VBN')",VBN,impressed,impressed
1,0,1,9,"('by', 'IN')",IN,by,by
1,0,1,10,"('that', 'DT')",DT,that,that
1,0,1,11,"('as', 'IN')",IN,as,as
1,0,1,12,"('a', 'DT')",DT,a,a
1,0,1,13,"('boxing', 'NN')",NN,boxing,boxing
1,0,1,14,"('title', 'NN')",NN,title,title
1,0,1,15,"(',', ',')",",",",",","
1,0,1,16,"('but', 'CC')",CC,but,but
1,0,1,17,"('it', 'PRP')",PRP,it,it
1,0,1,18,"('meant', 'VBD')",VBD,meant,meant
1,0,1,19,"('a', 'DT')",DT,a,a
1,0,1,20,"('lot', 'NN')",NN,lot,lot
1,0,1,21,"('to', 'TO')",TO,to,to
1,0,1,22,"('Cohn', 'NNP')",NNP,Cohn,cohn
1,0,1,23,"('.', '.')",.,.,.
1,0,2,0,"('He', 'PRP')",PRP,He,he
1,0,2,1,"('cared', 'VBD')",VBD,cared,cared
1,0,2,2,"('nothing', 'NN')",NN,nothing,nothing
1,0,2,3,"('for', 'IN')",IN,for,for
1,0,2,4,"('boxing', 'NN')",NN,boxing,boxing
1,0,2,5,"(',', ',')",",",",",","
1,0,2,6,"('in', 'IN')",IN,in,in
1,0,2,7,"('fact', 'NN')",NN,fact,fact
1,0,2,8,"('he', 'PRP')",PRP,he,he
1,0,2,9,"('disliked', 'VBD')",VBD,disliked,disliked
1,0,2,10,"('it', 'PRP')",PRP,it,it
1,0,2,11,"(',', ',')",",",",",","
1,0,2,12,"('but', 'CC')",CC,but,but
1,0,2,13,"('he', 'PRP')",PRP,he,he
1,0,2,14,"('learned', 'VBD')",VBD,learned,learned
1,0,2,15,"('it', 'PRP')",PRP,it,it
1,0,2,16,"('painfully', 'RB')",RB,painfully,painfully
1,0,2,17,"('and', 'CC')",CC,and,and
1,0,2,18,"('thoroughly', 'RB')",RB,thoroughly,thoroughly
1,0,2,19,"('to', 'TO')",TO,to,to
1,0,2,20,"('counteract', 'VB')",VB,counteract,counteract
1,0,2,21,"('the', 'DT')",DT,the,the
1,0,2,22,"('feeling', 'NN')",NN,feeling,feeling
1,0,2,23,"('of', 'IN')",IN,of,of
1,0,2,24,"('inferiority', 'NN')",NN,inferiority,inferiority
1,0,2,25,"('and', 'CC')",CC,and,and
1,0,2,26,"('shyness', 'NN')",NN,shyness,shyness
1,0,2,27,"('he', 'PRP')",PRP,he,he
1,0,2,28,"('had', 'VBD')",VBD,had,had
1,0,2,29,"('felt', 'VBN')",VBN,felt,felt
1,0,2,30,"('on', 'IN')",IN,on,on
1,0,2,31,"('being', 'VBG')",VBG,being,being
1,0,2,32,"('treated', 'VBN')",VBN,treated,treated
1,0,2,33,"('as', 'IN')",IN,as,as
1,0,2,34,"('a', 'DT')",DT,a,a
1,0,2,35,"('Jew', 'NNP')",NNP,Jew,jew
1,0,2,36,"('at', 'IN')",IN,at,at
1,0,2,37,"('Princeton', 'NNP')",NNP,Princeton,princeton
1,0,2,38,"('.', '.')",.,.,.
1,0,3,0,"('There', 'EX')",EX,There,there
1,0,3,1,"('was', 'VBD')",VBD,was,was
1,0,3,2,"('a', 'DT')",DT,a,a
1,0,3,3,"('certain', 'JJ')",JJ,certain,certain
1,0,3,4,"('inner', 'JJ')",JJ,inner,inner
1,0,3,5,"('comfort', 'NN')",NN,comfort,comfort
1,0,3,6,"('in', 'IN')",IN,in,in
1,0,3,7,"('knowing', 'VBG')",VBG,knowing,knowing
1,0,3,8,"('he', 'PRP')",PRP,he,he
1,0,3,9,"('could', 'MD')",MD,could,could
1,0,3,10,"('knock', 'VB')",VB,knock,knock
1,0,3,11,"('down', 'RP')",RP,down,down
1,0,3,12,"('anybody', 'NN')",NN,anybody,anybody
1,0,3,13,"('who', 'WP')",WP,who,who
1,0,3,14,"('was', 'VBD')",VBD,was,was
1,0,3,15,"('snooty', 'VBN')",VBN,snooty,snooty
1,0,3,16,"('to', 'TO')",TO,to,to
1,0,3,17,"('him', 'PRP')",PRP,him,him
1,0,3,18,"(',', ',')",",",",",","
1,0,3,19,"('although', 'IN')",IN,although,although
1,0,3,20,"(',', ',')",",",",",","
1,0,3,21,"('being', 'VBG')",VBG,being,being
1,0,3,22,"('very', 'RB')",RB,very,very
1,0,3,23,"('shy', 'RB')",RB,shy,shy
1,0,3,24,"('and', 'CC')",CC,and,and
1,0,3,25,"('a', 'DT')",DT,a,a
1,0,3,26,"('thoroughly', 'JJ')",JJ,thoroughly,thoroughly
1,0,3,27,"('nice', 'JJ')",JJ,nice,nice
1,0,3,28,"('boy', 'NN')",NN,boy,boy
1,0,3,29,"(',', ',')",",",",",","
1,0,3,30,"('he', 'PRP')",PRP,he,he
1,0,3,31,"('never', 'RB')",RB,never,never
1,0,3,32,"('fought', 'VBD')",VBD,fought,fought
1,0,3,33,"('except', 'IN')",IN,except,except
1,0,3,34,"('in', 'IN')",IN,in,in
1,0,3,35,"('the', 'DT')",DT,the,the
1,0,3,36,"('gym', 'NN')",NN,gym,gym
1,0,3,37,"('.', '.')",.,.,.
1,0,4,0,"('He', 'PRP')",PRP,He,he
1,0,4,1,"('was', 'VBD')",VBD,was,was
1,0,4,2,"('Spider', 'NNP')",NNP,Spider,spider
1,0,4,3,"('Kelly', 'NNP')",NNP,Kelly,kelly
1,0,4,4,"('’', 'NNP')",NNP,’,’
1,0,4,5,"('s', 'VBD')",VBD,s,s
1,0,4,6,"('star', 'NN')",NN,star,star
1,0,4,7,"('pupil', 'NN')",NN,pupil,pupil
1,0,4,8,"('.', '.')",.,.,.
1,0,5,0,"('Spider', 'NNP')",NNP,Spider,spider
1,0,5,1,"('Kelly', 'NNP')",NNP,Kelly,kelly
1,0,5,2,"('taught', 'VBD')",VBD,taught,taught
1,0,5,3,"('all', 'DT')",DT,all,all
1,0,5,4,"('his', 'PRP$')",PRP$,his,his
1,0,5,5,"('young', 'JJ')",JJ,young,young
1,0,5,6,"('gentlemen', 'NNS')",NNS,gentlemen,gentlemen
1,0,5,7,"('to', 'TO')",TO,to,to
1,0,5,8,"('box', 'VB')",VB,box,box
1,0,5,9,"('like', 'IN')",IN,like,like
1,0,5,10,"('featherweights', 'NNS')",NNS,featherweights,featherweights
1,0,5,11,"(',', ',')",",",",",","
1,0,5,12,"('no', 'DT')",DT,no,no
1,0,5,13,"('matter', 'NN')",NN,matter,matter
1,0,5,14,"('whether', 'IN')",IN,whether,whether
1,0,5,15,"('they', 'PRP')",PRP,they,they
1,0,5,16,"('weighed', 'VBD')",VBD,weighed,weighed
1,0,5,17,"('one', 'CD')",CD,one,one
1,0,5,18,"('hundred', 'CD')",CD,hundred,hundred
1,0,5,19,"('and', 'CC')",CC,and,and
1,0,5,20,"('five', 'CD')",CD,five,five
1,0,5,21,"('or', 'CC')",CC,or,or
1,0,5,22,"('two', 'CD')",CD,two,two
1,0,5,23,"('hundred', 'CD')",CD,hundred,hundred
1,0,5,24,"('and', 'CC')",CC,and,and
1,0,5,25,"('five', 'CD')",CD,five,five
1,0,5,26,"('pounds', 'NNS')",NNS,pounds,pounds
1,0,5,27,"('.', '.')",.,.,.
1,0,6,0,"('But', 'CC')",CC,But,but
